公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
一起教育,一起教育,互联网,3,1,1,北京,09:40,18:40,9.0,90.7,舒适,2
用友-畅捷通,用友-畅捷通,互联网,3,1,1,北京,08:40,17:40,9.0,91.5,舒适,0
七牛云,七牛云,互联网,3,1,2,上海、杭州,09:10,19:20,10.2,75.5,良好,2
中科星图空间技术,中科星图空间技术,互联网,3,1,1,西安,09:00,18:20,9.3,88.8,舒适,2
ThoughtWorks,ThoughtWorks,互联网,3,1,2,西安、上海,09:10,18:00,8.8,93.9,舒适,0
中银金科,中银金科,互联网,3,1,1,上海,08:09,17:16,9.0,90.1,舒适,2
建行,建行,金融,3,1,2,上海、北京,08:15,11:20,9.2,89.1,舒适,0
徐工,徐工,其他,3,3,1,徐州,08:14,18:20,10.1,71.9,良好,1
PayPal,PayPal,外企,3,1,2,上海、北京,09:00,18:00,9.0,95.4,舒适,2
中邮消费金融,中邮消费金融,互联网,3,1,1,广州,09:00,18:00,9.0,92.4,舒适,2
延锋彼欧汽车外饰系统,延锋彼欧汽车外饰系统,外企,3,1,1,上海,08:00,16:20,8.3,93.9,舒适,0
匿名广告公司,匿名广告公司,其他,3,2,2,深圳、广州,09:30,18:45,9.5,83.2,良好,2
Airwallex,Airwallex,互联网,3,1,1,上海,10:00,18:40,8.7,92.8,舒适,2
五菱,五菱,互联网,3,1,1,柳州,08:30,19:40,11.2,56.9,一般,2
匿名外企,匿名外企,外企,3,1,3,青岛、财务、北京,08:32,17:12,8.7,93.2,舒适,3
百词斩,百词斩,互联网,3,1,1,成都,09:30,18:20,8.8,88.8,舒适,2
苏宁,苏宁,互联网,3,1,2,南京、成都,09:00,20:00,11.0,58.8,一般,0
苏州恒力智能科技,苏州恒力智能科技,互联网,3,1,1,苏州,09:00,12:00,9.0,86.4,舒适,1
德邦快递,德邦快递,其他,3,1,3,广州、西安、上海,08:30,16:40,8.2,86.3,舒适,2
航天科工,航天科工,其他,3,1,1,北京,08:20,17:45,9.4,86.1,舒适,2
芒果TV,芒果TV,互联网,3,1,1,长沙,09:00,19:30,10.5,68.2,一般,1
中国铁塔,中国铁塔,其他,3,1,2,全国都有分公司、北京,08:26,14:50,9.6,87.1,舒适,1
中建二局,中建二局,其他,3,1,3,无固定场所、郑州、广州,07:26,19:40,12.2,39.8,很卷,0
中建三局,中建三局,其他,3,2,2,武汉、西安,08:10,19:30,11.3,70.7,良好,2
航班管家,航班管家,互联网,3,1,2,武汉、北京,09:00,18:20,9.3,88.8,舒适,2
戴德梁行,戴德梁行,外企,3,1,2,北京、厦门,09:20,18:00,8.7,95.4,舒适,1
扇贝,扇贝,互联网,3,1,1,南京,09:00,18:00,9.0,92.4,舒适,1
义乌市促佳贸易,义乌市促佳贸易,互联网,3,1,1,杭州,09:00,13:00,12.0,64.5,一般,0
广东三三智能科技,广东三三智能科技,互联网,3,1,1,汕头,08:00,20:00,12.0,45.8,偏卷,3
京东物流,京东,其他,3,1,3,宿迁、北京、厦门,09:00,19:50,10.8,64.6,一般,1
微医,微医,互联网,3,2,3,天津、杭州、北京,09:00,18:00,9.0,92.4,舒适,1
中移互联网,中移互联网,互联网,3,1,1,广州,08:56,17:10,8.2,97.0,舒适,2
悠星,悠星,互联网,3,1,1,上海,10:00,18:16,8.3,97.1,舒适,1
中科软,中科软,金融,3,2,2,北京、长春,08:40,19:20,10.7,69.0,一般,1
中科曙光南京研究院,中科曙光南京研究院,互联网,3,2,1,南京,08:30,17:30,9.0,91.0,舒适,3
朗新科技,朗新科技,互联网,3,2,1,杭州,08:30,18:10,9.7,86.1,舒适,3
雨润,雨润,其他,3,2,1,南京,08:30,17:50,9.3,76.9,良好,3
中国人寿,中国人寿,金融,3,1,2,合肥、常德,08:03,17:30,9.5,78.9,良好,1
中国信通院,中国信通院,其他,3,1,2,上海、北京,09:00,17:10,8.2,97.6,舒适,2
普华永道,普华永道,外企,3,1,3,中国、郑州、上海,09:16,17:39,8.5,94.2,舒适,0
新点软件,新点软件,互联网,3,1,2,江苏张家港、各地分公司,08:20,19:50,11.5,58.6,一般,2
中国铁路,中国铁路,其他,3,3,3,天津、北京、太原,08:20,19:40,11.3,62.4,一般,1
中国工商银行,中国工商银行,金融,3,2,3,所有分中心、北京、广东珠三角地区,08:05,17:30,9.4,88.4,舒适,2
顺丰同城,顺丰,互联网,3,2,1,北京,10:10,20:50,10.7,60.4,一般,1
blued,blued,互联网,3,1,1,北京,09:30,18:20,8.8,93.2,舒适,0
baidu,baidu,互联网,3,1,2,北京、深圳,10:00,17:00,10.5,78.2,良好,0
易方达基金,易方达基金,金融,3,1,1,广州,08:30,19:50,11.3,58.1,一般,3
